2025-12-21 12:58:30 - root - INFO - Запуск Multi-IB Code Search...
2025-12-21 12:58:30 - app.context - INFO - Инициализация ИБ: hrm31...
2025-12-21 12:58:46 - pymorphy3.opencorpora_dict.wrapper - INFO - Loading dictionaries from C:\Users\rsyuzyov\AppData\Roaming\Python\Python312\site-packages\pymorphy3_dicts_ru\data
2025-12-21 12:58:46 - pymorphy3.opencorpora_dict.wrapper - INFO - format: 2.4, revision: 417150, updated: 2022-01-08T22:09:24.565962
2025-12-21 12:58:46 - app.context - INFO - ИБ hrm31 инициализирована
2025-12-21 12:58:46 - root - INFO - Сервер доступен на http://localhost:8000
2025-12-21 12:59:00 - ib.hrm31 - INFO - Обнаружены изменения, запуск индексации...
2025-12-21 12:59:10 - idx.code_hrm31 - INFO - [Incremental] Scanning 36505 files for changes...
2025-12-21 12:59:16 - idx.code_hrm31 - INFO - Scanned 13925/36505 files...
2025-12-21 12:59:21 - idx.code_hrm31 - INFO - Scanned 23862/36505 files...
2025-12-21 12:59:26 - idx.code_hrm31 - INFO - Scanned 31815/36505 files...
2025-12-21 12:59:28 - idx.code_hrm31 - INFO - Scanning done. Found: +36505 ~0 -0
2025-12-21 12:59:28 - idx.code_hrm31 - INFO - [Incremental] Starting indexing...
2025-12-21 12:59:33 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 0:33 | конец: ...
2025-12-21 12:59:38 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 0:38 | конец: ...
2025-12-21 12:59:43 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 0:43 | конец: ...
2025-12-21 12:59:48 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 0:48 | конец: ...
2025-12-21 12:59:53 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 0:53 | конец: ...
2025-12-21 12:59:59 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 0:58 | конец: ...
2025-12-21 13:00:04 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 1:03 | конец: ...
2025-12-21 13:00:09 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 1:08 | конец: ...
2025-12-21 13:00:14 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 1:13 | конец: ...
2025-12-21 13:00:19 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 1:18 | конец: ...
2025-12-21 13:00:24 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 1:23 | конец: ...
2025-12-21 13:00:29 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 1:28 | конец: ...
2025-12-21 13:00:34 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 1:33 | конец: ...
2025-12-21 13:00:39 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 1:38 | конец: ...
2025-12-21 13:00:44 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 1:43 | конец: ...
2025-12-21 13:00:49 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 1:48 | конец: ...
2025-12-21 13:00:54 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 1:53 | конец: ...
2025-12-21 13:00:59 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 1:58 | конец: ...
2025-12-21 13:01:04 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 2:03 | конец: ...
2025-12-21 13:01:09 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 2:08 | конец: ...
2025-12-21 13:01:14 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 2:13 | конец: ...
