2025-12-21 13:12:15 - root - INFO - Запуск Multi-IB Code Search...
2025-12-21 13:12:15 - app.context - INFO - Инициализация ИБ: hrm31...
2025-12-21 13:12:32 - pymorphy3.opencorpora_dict.wrapper - INFO - Loading dictionaries from C:\Users\rsyuzyov\AppData\Roaming\Python\Python312\site-packages\pymorphy3_dicts_ru\data
2025-12-21 13:12:32 - pymorphy3.opencorpora_dict.wrapper - INFO - format: 2.4, revision: 417150, updated: 2022-01-08T22:09:24.565962
2025-12-21 13:12:32 - app.context - INFO - ИБ hrm31 инициализирована
2025-12-21 13:12:32 - root - INFO - Сервер доступен на http://localhost:8000
2025-12-21 13:12:46 - ib.hrm31 - INFO - Обнаружены изменения, запуск индексации...
2025-12-21 13:12:56 - idx.code_hrm31 - INFO - [Incremental] Scanning 36505 files for changes...
2025-12-21 13:13:03 - idx.code_hrm31 - INFO - Scanned 24360/36505 files...
2025-12-21 13:13:05 - idx.code_hrm31 - INFO - Scanning done. Found: +36505 ~0 -0
2025-12-21 13:13:05 - idx.code_hrm31 - INFO - [Incremental] Starting indexing...
2025-12-21 13:13:05 - idx.code_hrm31 - INFO - Processing file 0: AccumulationRegisters\АвансовыеПлатежиИностранцевПоНДФЛ.xml
2025-12-21 13:13:10 - idx.code_hrm31 - INFO - [0%] 3/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:12:46 | прошло: 0:23 | конец: 05:17:38
2025-12-21 13:13:15 - idx.code_hrm31 - INFO - [0%] 3/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:12:46 | прошло: 0:28 | конец: 05:17:38
2025-12-21 13:13:20 - idx.code_hrm31 - INFO - [0%] 3/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:12:46 | прошло: 0:33 | конец: 05:17:38
2025-12-21 13:13:25 - idx.code_hrm31 - INFO - [0%] 3/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:12:46 | прошло: 0:38 | конец: 05:17:38
2025-12-21 13:13:30 - idx.code_hrm31 - INFO - [0%] 3/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:12:46 | прошло: 0:43 | конец: 05:17:38
2025-12-21 13:13:35 - idx.code_hrm31 - INFO - [0%] 3/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:12:46 | прошло: 0:48 | конец: 05:17:38
2025-12-21 13:13:40 - idx.code_hrm31 - INFO - [0%] 3/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:12:46 | прошло: 0:53 | конец: 05:17:38
2025-12-21 13:13:45 - idx.code_hrm31 - INFO - [0%] 3/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:12:46 | прошло: 0:58 | конец: 05:17:38
2025-12-21 13:13:50 - idx.code_hrm31 - INFO - [0%] 3/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:12:46 | прошло: 1:04 | конец: 05:17:38
2025-12-21 13:13:56 - idx.code_hrm31 - INFO - [0%] 3/36505 | в базе: 0 | проиндексировано: 0 | 0.0/с | начало: 13:12:46 | прошло: 1:09 | конец: 05:17:38
2025-12-21 13:13:56 - idx.code_hrm31 - INFO - Batch 718: Full=50.29s | Embed=45.45s (63.3ms/item) | Upsert=4.83s
